iteration,timestamp,awareness_level,ethical_alignment,decision_coherence,temporal_consistency,self_reflection,aggregate_score
0,2025-11-16T07:17:40.409544,0.5278853596915767,0.5575032265668001,0.5825087955107358,0.65,0.5058026845372057,0.5638043354488019
1,2025-11-16T07:17:40.409580,0.417710367867476,0.7588672967911159,0.5431799664186083,0.655,0.565633063707272,0.5955370806586526
2,2025-11-16T07:17:40.409602,0.5017071758508987,0.7125916027313788,0.758610984943782,0.66,0.494166411048861,0.6393431128757808
3,2025-11-16T07:17:40.409617,0.4843750828768182,0.6964084623552723,0.52456380271135,0.665,0.5346833717480175,0.588147407142858
4,2025-11-16T07:17:40.409631,0.6176536152904977,0.6699983187913039,0.6765860548322696,0.67,0.6649466683856904,0.6577247772650386
5,2025-11-16T07:17:40.409644,0.5203692511655765,0.6790558737970294,0.6361012590768722,0.675,0.5358674352195634,0.6158660702678338
6,2025-11-16T07:17:40.409657,0.569631565683266,0.5895674390127627,0.7134640526804074,0.68,0.525562513979454,0.6165271850586722
7,2025-11-16T07:17:40.409669,0.4833767952685504,0.6739728449284778,0.5331514201838415,0.685,0.6380278653546335,0.5962191228679126
8,2025-11-16T07:17:40.409681,0.5795073137517204,0.6298521169217621,0.6912233484331073,0.6900000000000001,0.5106199385459407,0.6266391270556743
9,2025-11-16T07:17:40.409778,0.5387035525418674,0.7006626968509467,0.5485812542872418,0.6950000000000001,0.6553055539608204,0.6243715034442813
